2006-1-1,21,84,1012,Rain
2006-1-2,18,66,1017,
2006-1-3,19,66,1017,
2006-1-4,22,51,1015,
2006-1-5,23,50,1014,
2006-1-6,23,48,1017,
2006-1-7,23,41,1016,
2006-1-8,26,43,1011,
2006-1-9,28,51,1009,Rain
2006-1-10,26,60,1010,Rain
2006-1-11,21,68,1014,
2006-1-12,22,56,1016,
2006-1-13,23,54,1016,
2006-1-14,23,55,1015,Rain
2006-1-15,21,55,1013,Rain
2006-1-16,26,55,1009,Rain
2006-1-17,27,47,1009,
2006-1-18,27,40,1009,
2006-1-19,29,37,1008,
2006-1-20,33,36,1007,Rain-Thunderstorm
2006-1-21,36,29,1006,Thunderstorm
2006-1-22,30,41,1003,
2006-1-23,21,59,1010,
2006-1-24,21,51,1014,
2006-1-25,23,41,1010,
2006-1-26,32,25,1003,
2006-1-27,24,52,1006,Rain
2006-1-28,26,74,1007,Rain-Thunderstorm
2006-1-29,23,78,1008,Rain
2006-1-30,20,56,1012,
2006-1-31,23,44,1007,
2006-2-1,18,67,1007,Rain
2006-2-2,20,64,1014,
2006-2-3,20,59,1016,Rain
2006-2-4,21,55,1017,
2006-2-5,21,61,1015,
2006-2-6,20,55,1018,
2006-2-7,18,48,1020,
2006-2-8,24,44,1011,Rain
2006-2-9,18,56,1015,Rain
2006-2-10,17,58,1018,
2006-2-11,17,60,1017,
2006-2-12,17,63,1015,
2006-2-13,18,54,1020,
2006-2-14,19,58,1019,
2006-2-15,23,58,1013,
2006-2-16,26,49,1008,
2006-2-17,21,68,1011,
2006-2-18,19,64,1013,
2006-2-19,19,61,1017,
2006-2-20,19,56,1021,
2006-2-21,20,59,1020,
2006-2-22,22,58,1017,
2006-2-23,23,63,1014,Rain
2006-2-24,24,77,1011,Rain-Hail-Thunderstorm
2006-2-25,21,79,1013,
2006-2-26,19,61,1020,
2006-2-27,19,67,1023,
2006-2-28,21,52,1021,
2006-3-1,24,38,1021,
2006-3-2,29,19,1017,
2006-3-3,28,38,1018,
2006-3-4,26,39,1021,
2006-3-5,23,53,1017,
2006-3-6,20,57,1015,
2006-3-7,19,53,1017,
2006-3-8,18,63,1017,
2006-3-9,19,61,1016,
2006-3-10,19,57,1017,
2006-3-11,26,35,1013,
2006-3-12,29,46,1009,Rain
2006-3-13,18,61,1017,
2006-3-14,17,59,1020,
2006-3-15,17,67,1013,Rain
2006-3-16,18,57,1014,Rain
2006-3-17,17,67,1017,
2006-3-18,16,68,1018,
2006-3-19,20,61,1022,
2006-3-20,20,54,1024,
2006-3-21,19,64,1020,
2006-3-22,20,64,1016,
2006-3-23,24,47,1016,
2006-3-24,26,34,1015,
2006-3-25,26,34,1014,
2006-3-26,22,61,1014,Rain
2006-3-27,19,78,1014,Rain-Thunderstorm
2006-3-28,20,69,1018,
2006-3-29,17,72,1019,
2006-3-30,17,65,1022,
2006-3-31,18,67,1019,Rain
2006-4-1,16,62,1019,
2006-4-2,15,49,1016,
2006-4-3,18,61,1010,Rain
2006-4-4,18,73,1011,Rain
2006-4-5,16,70,1011,Rain
2006-4-6,16,66,1016,Rain
2006-4-7,17,73,1017,Rain
2006-4-8,14,67,1019,
2006-4-9,13,64,1019,
2006-4-10,17,37,1013,Rain
2006-4-11,18,66,1011,Rain
2006-4-12,18,61,1015,
2006-4-13,18,59,1015,
2006-4-14,14,74,1021,Rain
2006-4-15,12,66,1027,
2006-4-16,13,54,1020,
2006-4-17,16,61,1011,Rain
2006-4-18,17,66,1015,Rain
2006-4-19,17,75,1014,Rain
2006-4-20,16,68,1019,Rain
2006-4-21,13,62,1023,Rain
2006-4-22,13,58,1024,
2006-4-23,12,70,1025,
2006-4-24,13,69,1024,
2006-4-25,16,51,1020,
2006-4-26,18,47,1017,
2006-4-27,20,29,1012,
2006-4-28,17,81,1008,Rain
2006-4-29,16,81,1012,
2006-4-30,17,72,1015,Rain
2006-5-1,16,70,1016,Rain
2006-5-2,16,81,1016,Rain
2006-5-3,16,77,1018,Rain
2006-5-4,17,66,1020,
2006-5-5,14,87,1017,Rain
2006-5-6,14,83,1010,Fog-Rain
2006-5-7,12,63,1012,Rain
2006-5-8,13,74,1021,Rain
2006-5-9,14,84,1019,Rain
2006-5-10,13,72,1023,
2006-5-11,12,77,1028,
2006-5-12,14,63,1031,
2006-5-13,14,64,1029,
2006-5-14,13,61,1028,
2006-5-15,14,74,1026,
2006-5-16,12,73,1026,
2006-5-17,13,71,1026,
2006-5-18,12,78,1025,
2006-5-19,11,80,1024,
2006-5-20,11,70,1030,Fog
2006-5-21,10,74,1032,Rain
2006-5-22,10,74,1030,
2006-5-23,9,61,1026,
2006-5-24,8,73,1019,
2006-5-25,10,66,1016,Rain
2006-5-26,11,71,1019,
2006-5-27,11,69,1025,
2006-5-28,10,80,1027,
2006-5-29,10,88,1025,Fog
2006-5-30,11,61,1020,
2006-5-31,13,71,1011,Rain
2006-6-1,11,88,1009,Rain
2006-6-2,11,78,1017,
2006-6-3,12,85,1024,Rain
2006-6-4,9,83,1028,Fog
2006-6-5,10,82,1031,
2006-6-6,9,79,1031,Fog
2006-6-7,8,76,1029,Fog
2006-6-8,11,64,1027,
2006-6-9,12,57,1025,
2006-6-10,12,63,1023,Rain
2006-6-11,9,71,1031,
2006-6-12,9,72,1035,
2006-6-13,7,77,1034,
2006-6-14,7,73,1033,
2006-6-15,7,83,1032,
2006-6-16,11,82,1031,
2006-6-17,9,72,1030,
2006-6-18,7,79,1026,
2006-6-19,8,79,1025,Fog
2006-6-20,10,67,1024,Fog
2006-6-21,12,60,1021,
2006-6-22,13,65,1020,
2006-6-23,10,87,1023,Fog
2006-6-24,9,85,1028,Fog-Rain
2006-6-25,10,70,1030,
2006-6-26,8,70,1027,
2006-6-27,9,70,1025,Rain
2006-6-28,11,49,1023,
2006-6-29,12,49,1017,Rain
2006-6-30,13,88,1017,Fog-Rain
2006-7-1,10,88,1013,Rain
2006-7-2,9,84,1023,Fog
2006-7-3,8,87,1027,Fog
2006-7-4,8,84,1027,
2006-7-5,10,78,1028,
2006-7-6,11,80,1031,Fog
2006-7-7,11,72,1031,
2006-7-8,11,79,1027,
2006-7-9,10,62,1017,
2006-7-10,13,50,1010,Rain
2006-7-11,12,83,1015,Fog-Rain
2006-7-12,8,69,1026,
2006-7-13,7,68,1026,
2006-7-14,10,67,1015,Rain
2006-7-15,10,82,1012,Rain
2006-7-16,12,85,1018,Rain
2006-7-17,13,78,1024,
2006-7-18,11,71,1030,
2006-7-19,10,70,1031,
2006-7-20,7,70,1029,
2006-7-21,11,51,1028,
2006-7-22,10,59,1024,Rain
2006-7-23,12,77,1023,Rain
2006-7-24,12,70,1024,
2006-7-25,10,72,1026,Fog
2006-7-26,11,67,1025,
2006-7-27,12,63,1019,
2006-7-28,14,59,1011,Rain
2006-7-29,12,83,1016,Rain
2006-7-30,11,88,1019,Rain
2006-7-31,10,68,1021,
2006-8-1,9,73,1019,
2006-8-2,13,72,1014,Rain
2006-8-3,11,81,1023,Fog
2006-8-4,11,91,1029,Fog
2006-8-5,11,76,1030,Fog
2006-8-6,9,84,1031,Fog
2006-8-7,12,71,1030,Fog
2006-8-8,13,43,1026,
2006-8-9,11,71,1028,
2006-8-10,7,78,1030,Fog
2006-8-11,9,79,1028,Fog
2006-8-12,11,62,1024,
2006-8-13,14,46,1018,
2006-8-14,12,84,1019,Fog-Rain
2006-8-15,13,63,1020,Fog
2006-8-16,18,46,1010,Rain
2006-8-17,13,70,1020,
2006-8-18,11,79,1025,Rain
2006-8-19,12,60,1023,
2006-8-20,18,32,1017,Rain
2006-8-21,14,76,1017,
2006-8-22,11,81,1019,Rain
2006-8-23,14,74,1013,Rain
2006-8-24,13,87,1013,Rain
2006-8-25,11,63,1022,
2006-8-26,10,65,1020,
2006-8-27,10,77,1022,Rain
2006-8-28,11,68,1030,
2006-8-29,10,75,1032,
2006-8-30,13,68,1029,Fog
2006-8-31,16,52,1024,
2006-9-1,18,36,1019,
2006-9-2,19,48,1014,
2006-9-3,13,77,1017,Rain
2006-9-4,12,55,1021,
2006-9-5,12,75,1019,Rain
2006-9-6,11,71,1024,Rain
2006-9-7,11,81,1028,
2006-9-8,12,79,1028,Rain
2006-9-9,11,69,1031,Rain
2006-9-10,12,60,1034,
2006-9-11,13,50,1032,
2006-9-12,18,36,1030,
2006-9-13,18,38,1026,Rain
2006-9-14,13,77,1029,Fog
2006-9-15,12,73,1029,
2006-9-16,17,57,1026,
2006-9-17,20,33,1021,
2006-9-18,22,23,1017,
2006-9-19,19,47,1012,Rain
2006-9-20,14,66,1016,
2006-9-21,16,55,1011,
2006-9-22,17,53,1007,
2006-9-23,17,55,1007,Rain
2006-9-24,13,63,1012,Rain
2006-9-25,11,58,1023,
2006-9-26,14,40,1016,
2006-9-27,13,54,1019,
2006-9-28,11,67,1022,
2006-9-29,12,73,1024,
2006-9-30,16,52,1020,
2006-10-1,17,44,1015,Thunderstorm
2006-10-2,16,61,1023,
2006-10-3,19,39,1020,
2006-10-4,24,32,1014,Rain
2006-10-5,14,54,1026,
2006-10-6,11,54,1026,
2006-10-7,17,39,1018,
2006-10-8,13,48,1029,
2006-10-9,13,48,1034,
2006-10-10,14,42,1028,
2006-10-11,21,14,1019,
2006-10-12,26,23,1014,
2006-10-13,17,64,1019,
2006-10-14,14,65,1023,
2006-10-15,13,55,1027,
2006-10-16,16,41,1023,
2006-10-17,21,45,1015,
2006-10-18,17,64,1022,Rain
2006-10-19,17,73,1023,
2006-10-20,14,59,1026,
2006-10-21,12,48,1031,
2006-10-22,14,39,1028,
2006-10-23,18,30,1021,
2006-10-24,21,34,1016,
2006-10-25,14,54,1022,
2006-10-26,13,53,1021,
2006-10-27,13,58,1020,
2006-10-28,13,53,1021,
2006-10-29,14,50,1021,
2006-10-30,13,56,1018,
2006-10-31,19,50,1014,Rain
2006-11-1,17,54,1008,Rain
2006-11-2,16,72,1010,Rain
2006-11-3,14,68,1019,
2006-11-4,16,71,1022,
2006-11-5,17,59,1023,
2006-11-6,17,55,1022,
2006-11-7,16,57,1022,
2006-11-8,16,47,1023,
2006-11-9,13,57,1020,
2006-11-10,17,46,1013,
2006-11-11,22,40,1007,Rain-Thunderstorm
2006-11-12,19,84,1008,Rain-Thunderstorm
2006-11-13,14,58,1017,Rain
2006-11-14,12,64,1019,
2006-11-15,13,57,1015,Rain
2006-11-16,14,52,1023,
2006-11-17,17,48,1021,
2006-11-18,22,22,1019,
2006-11-19,24,19,1017,Rain
2006-11-20,26,27,1012,
2006-11-21,23,49,1009,Rain-Thunderstorm
2006-11-22,18,70,1018,Rain
2006-11-23,17,70,1021,
2006-11-24,19,51,1017,
2006-11-25,26,35,1012,
2006-11-26,22,41,1013,
2006-11-27,27,25,1010,
2006-11-28,20,45,1011,
2006-11-29,26,25,1011,
2006-11-30,26,40,1006,Thunderstorm
2006-12-1,18,63,1012,
2006-12-2,17,47,1019,
2006-12-3,16,54,1022,
2006-12-4,18,51,1018,
2006-12-5,24,26,1011,
2006-12-6,20,43,1016,
2006-12-7,21,41,1019,
2006-12-8,31,11,1015,
2006-12-9,34,15,1014,
2006-12-10,24,49,1016,
2006-12-11,17,48,1024,Rain
2006-12-12,18,37,1024,
2006-12-13,23,23,1014,
2006-12-14,17,62,1014,Rain
2006-12-15,17,48,1021,
2006-12-16,18,49,1022,
2006-12-17,18,46,1020,
2006-12-18,21,30,1017,
2006-12-19,26,30,1015,
2006-12-20,28,23,1011,
2006-12-21,28,49,1007,Rain-Thunderstorm
2006-12-22,19,82,1012,Rain
2006-12-23,17,52,1021,
2006-12-24,16,56,1020,Rain
2006-12-25,13,51,1024,Rain
2006-12-26,16,58,1025,
2006-12-27,16,60,1022,
2006-12-28,18,57,1018,
2006-12-29,22,41,1012,Rain-Thunderstorm
2006-12-30,27,28,1008,Rain-Thunderstorm
2006-12-31,23,56,1006,
